"Coll_Word"	"1"	"2"	"3"	"exp_1"	"exp_2"	"exp_3"	"pbin_1"	"pbin_2"	"pbin_3"	"SumAbsDev"	"LargestDev"
"！"	1	0	2	0.302	1.806	0.892	0.564	-1.2	0.672	2.436	"2"
"﹐"	0	2	0	0.201	1.204	0.595	-0.092	0.441	-0.307	0.84	"2"
"."	0	9	1	1.007	6.019	2.975	-0.461	1.323	-0.814	2.598	"2"
"006"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"1.11"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"11.7"	0	0	1	0.101	0.602	0.297	-0.046	-0.4	0.527	0.973	"3"
"12"	0	2	0	0.201	1.204	0.595	-0.092	0.441	-0.307	0.84	"2"
"13"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"14"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"148"	0	0	1	0.101	0.602	0.297	-0.046	-0.4	0.527	0.973	"3"
"156"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"1人"	0	0	1	0.101	0.602	0.297	-0.046	-0.4	0.527	0.973	"3"
"21"	0	0	1	0.101	0.602	0.297	-0.046	-0.4	0.527	0.973	"3"
"243"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"25"	0	0	1	0.101	0.602	0.297	-0.046	-0.4	0.527	0.973	"3"
"253"	0	0	1	0.101	0.602	0.297	-0.046	-0.4	0.527	0.973	"3"
"28"	0	2	0	0.201	1.204	0.595	-0.092	0.441	-0.307	0.84	"2"
"361"	0	0	1	0.101	0.602	0.297	-0.046	-0.4	0.527	0.973	"3"
"37"	0	2	0	0.201	1.204	0.595	-0.092	0.441	-0.307	0.84	"2"
"370"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"396"	0	0	1	0.101	0.602	0.297	-0.046	-0.4	0.527	0.973	"3"
"3人"	0	1	1	0.201	1.204	0.595	-0.092	-0.195	0.295	0.582	"3"
"44.7"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"495"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"5.13"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"53"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"6万多"	0	0	1	0.101	0.602	0.297	-0.046	-0.4	0.527	0.973	"3"
"7"	0	4	4	0.805	4.815	2.38	-0.369	-0.396	0.722	1.487	"3"
"891031"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"8车"	0	0	1	0.101	0.602	0.297	-0.046	-0.4	0.527	0.973	"3"
"9"	0	2	0	0.201	1.204	0.595	-0.092	0.441	-0.307	0.84	"2"
"EMI"	1	0	0	0.101	0.602	0.297	0.997	-0.4	-0.153	1.55	"1"
"funding"	1	0	0	0.101	0.602	0.297	0.997	-0.4	-0.153	1.55	"1"
"Lam"	0	0	1	0.101	0.602	0.297	-0.046	-0.4	0.527	0.973	"3"
"mainstream"	1	0	0	0.101	0.602	0.297	0.997	-0.4	-0.153	1.55	"1"
"SARS"	0	0	1	0.101	0.602	0.297	-0.046	-0.4	0.527	0.973	"3"
"SQ"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"阿斯纳尔"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"安徽"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"安徽省"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"安监局"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"安妮"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"安全"	0	13	8	2.114	12.639	6.247	-0.968	0.275	0.571	1.814	"1"
"安然无恙"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"按钮"	0	0	1	0.101	0.602	0.297	-0.046	-0.4	0.527	0.973	"3"
"按照"	0	0	1	0.101	0.602	0.297	-0.046	-0.4	0.527	0.973	"3"
"案例"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"奥地利"	0	2	0	0.201	1.204	0.595	-0.092	0.441	-0.307	0.84	"2"
"巴"	1	0	0	0.101	0.602	0.297	0.997	-0.4	-0.153	1.55	"1"
"巴纳吉"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"败北"	1	0	0	0.101	0.602	0.297	0.997	-0.4	-0.153	1.55	"1"
"败仗"	1	0	0	0.101	0.602	0.297	0.997	-0.4	-0.153	1.55	"1"
"班机"	0	2	1	0.302	1.806	0.892	-0.138	0.187	0.185	0.51	"2"
"半路"	1	0	0	0.101	0.602	0.297	0.997	-0.4	-0.153	1.55	"1"
"帮助"	3	0	0	0.302	1.806	0.892	2.991	-1.2	-0.46	4.651	"1"
"保险"	0	7	0	0.705	4.213	2.082	-0.323	1.543	-1.073	2.939	"2"
"报告"	0	5	1	0.604	3.611	1.785	-0.276	0.627	-0.371	1.274	"2"
"暴风"	0	1	0	0.101	0.602	0.297	-0.046	0.22	-0.153	0.419	"2"
"暴露出来"	0	0	1	0.101	0.602	0.297	-0.046	-0.4	0.527	0.973	"3"
